Product Name,Category Name,Reference Part Number,Description,SKU,Stok per tgl 18 May 2025,Lokasi Stok,,Notes
First Product,Category Name,"ABC11,EFG22,HIJ33",Product Description,ABC,,,,pastikan masing2 nama produk unik (tidak ada persamaan dengan data lainnya)
AIR FILTER,,,-,-,,,,pastikan kategori barang ada di database
100013,Air Filter Secondary,02250046-013,-,-,3,Surabaya,,
1000223,Air Filter,2213-0223,-,-,9,,,
100044,Air Filter,IHI CQ51F1L044D2,-,-,1,,,
100053,Air Filter,02250168-053,-,-,6,"4pcs Jakarta, 2 pcs Surabaya",,
100111,Air Filter,88290003-111,-,-,2,Surabaya,,
100149,Air Filter,02250135-149 =  250007-838,-,-,10,Jakarta,,
100371,Air Filter,02250125-371,-,-,0,,,
100372,Air Filter,02250125-372,-,-,0,,,
100462,Air Filter,48462,-,-,0,,,
100463,Air Filter,48463,-,-,0,,,
100731,Air Filter Primary,02250145-731,-,-,3,Surabaya,,
104034,Air Filter,250024-034,-,-,0,,,
104338,Air Filter,88290002-338,-,-,3,"2pcs Jakarta, 1 pcs Surabaya",,
104375,Air Filter,02250125-375,-,-,2,Jakarta,,
104420,Air Filter,02250087-420,-,-,0,,,
104498,Air Filter,02250131-498,-,-,0,,,
104684,Air Filter,02250127-684,-,-,0,,,
104899,Air Filter,040899 / 40899,-,-,5,Jakarta,,
105204,Air Filter,88292001-204,-,-,0,,,
105486,Air Filter,88290014-486,-,-,2,Jakarta,,
106503,Air Filter,5232-2330 = 5903-1170 = SCE 05-503,-,-,8,Jakarta,,
1001049,Air Filter,C 1049,-,-,12,Jakarta,,
1001112,Air Filter,569726200 = C 1112,-,-,0,,,
1001132,Air Filter,2255300187 = 589000901 = 98262-81 = C 1132,-,-,0,,,
1001140,Air Filter,1613-9001-00 = 569000301 = 22173538 = 68524775 = C 1140 = A35-3211410079A,-,-,2,"1pcs Jakarta, 1pcs Surabaya",,
1001213,Air Filter,C 1213,-,-,2,Jakarta,,
1001250,Air Filter,1613-8720-00 = 569006101 = 88226220 = 76288 = C 1250,-,-,18,"14pcs Jakarta, 4 pcs Surabaya",,
1001360,Air Filter,C 1360,-,-,5,Jakarta,,
1001389,Air Filter,1621-1389-00,-,-,1,Jakarta,,
1001450,Air Filter,1619-1269-00 = 2903-1012-00 = 93603413 = C 1450,-,-,13,"10pcs Jakarta, 3pcs Surabaya",,
1001469,Air Filter,88290001-469,-,-,2,"1pcs Jakarta, 1pcs Surabaya",,
1001574,Air Filter,10683506 = C 1574,-,-,6,Jakarta,,
1005107,Air Filter,1621-5107-00 = 23487465 = C 281440,-,-,3,"2pcs Jakarta, 1 pcs Surabaya",,
1006016,Air Filter,CR 21G30336,-,-,1,Jakarta,,
1006684,Air Filter,2914-9302-00 = 1622-0171-00 = 569003401 = 22295794 = C 14200,-,-,7,"3pcs Jakarta, 4pcs Surabaya",,
